,source,target,edge
3967,charged  particles,nucleus,called
3968,nucleus,neutral  neutrons,discovered
3969,atom,charged  electrons,consists of
3970,diameter,times  atom,is
3971,atomic mass which,atomic  mass,expressed in
3972,10 g. Protons,1.0073  amu,defined as
3973,Neutrons,1.0087  amu,are
3974,Electrons,0.00055  amu,are light
3975,atomic  that,atoms elemental identity,called
3976,mass expressed,approximately  atom,called
3977,when  it,equal  electrons,is neutral
3978,instructor,that,evaluate
3979,questions,material,be for
3980,self evaluation,also  class,shape
3981,responses,instructor,graded
3982,,4.0 Creative Commons License,Adapted from
3983,,,Download for free
3984,initial  Ef,final  orbital,postulated
3985,equations,one  another,combined
3986,3  2.What,emission,is
3987,negative J\\;\\left(\{(2)^2}\\;-\\;\{(3)^2}\ight)\\;=\\;-3.03\^{-19}\\;\\mathrm J value,energy,E\\;=\\;-2.18\^{-18}\\;\\mathrm
3988,this,red wavelength light,s})(2.998\^8\\;\\mathrm m/\\cancel{\\mathrm
3989,transition that,red line hydrogen,is
3990,that,themicroscopic  atoms,became clear
3991,simplest  which,two  electrons,was unableto
3992,proper  model,quantum classicalmechanics,was
3993,,4.0 Creative Commons License,Adapted from
3994,,,Download for free
3995,thermal  that,average  molecules,has thermal
3996,different  it,low  temperature,flows from
3997,Chemical  processes,heat,absorb
3998,SI  unit,energy,is
3999,heat  capacity,substance,are
4000,directly temperature it,directly  substance,depends
4001,Calorimetry,physical  process,used
4002,careful temperature that,system,requires careful
4003,measured  quantities,mathematical  relations,used
4004,Calorimeters,energy system,designed
4005,They,sophisticated energy food,range from simple
4006,instructor,that,evaluate
4007,questions,material,be for
4008,self evaluation,also  class,shape
4009,responses,instructor,graded
4010,,4.0 Creative Commons License,Adapted from
4011,,,Download for free
4012,Osmotic  pressure,directly solute present,are
4013,Consequently  we,molar  measurements,use
4014,molar  mass,compound,found
4015,,pure freezing benzene,Determine
4016,,constant point benzene,Determine
4017,,molal solution,Determine
4018,,molar mass,Determine
4019,22  What,molar  hemoglobin,has
4020,,osmotic  pressure,Convert
4021,,solution,Determine
4022,,molar mass,Determine
4023,,4.0 Creative Commons License,Adapted from
4024,,,Download for free
4025,Sometimes  it,one  another,is necessary
4026,Dimensional  analysisMethod,one  another,be convenient
4027,factor label method,one  another,is
4028,units,associated  numbers,subjected to
4029,method,different step quantities,applied to
4030,Method,one  another,used
4031,ratio,different unit conversion unit,used as
4032,,2.54  cm,lengths of
4033,used  equalities,table,are
4034,English units ounces,everyday  use,Note in
4035,oz,volume,are
4036,appropriate conversion we,such  centimeters,convert
4037,When  we,unit factor,converted to
4038,2.54  cm,1,change
4039,oz conversion We,two conversion ounces,form
4040,we,carefully  units,need
4041,unit,g,want
4042,unit,g ounces,is
4043,original  measurement,significant  figures,notice
4044,1  oz,significant  figures,is
4045,,4.0 Creative Commons License,Adapted from
4046,,,Download for free
4047,nonpolar  covalent,bonding itself,determined by
4048,Electronegativity,electron itself,is
4049,shared  electrons,two  bond,determines
4050,strongly  atom,larger  electronegativity,attracts
4051,electronegative covalent atom,negative  charge,is
4052,,partial electron atoms,polarized
4053,periodic  table,twentieth electronegativity century,shows
4054,,periodic electronegativity group,In general
4055,which,electronegative  all,tend
4056,1  metals,lowest  electronegativities,tend
4057,usually others they,full valence shell,Note
4058,thus  they,general  electronegativity,formed under extreme
4059,We,electronegativity,be careful
4060,isolated gas phase atom,kJ  mol,is
4061,tightly  atom,bond,describes
4062,dimensionless that,,is
4063,Pauling,different electronegativity bonds,derived
4064,He,relative  4,chose
4065,absolute  value,rough  bond,type
4066,very  bond,,is
4067,bond,,is polar
4068,electronegativity NaCl,electronegativity bonds,are
4069,electrons,ionic covalent bonding,varies from
4070,diagrams,electronegativity difference,show
4071,ionic electronegativity bonds,Figure,shown in
4072,table,many  exceptions,is
4073,that,bonds,have
4074,both,ionic  compounds,have
4075,best  guide,periodic  table,is
4076,nonmetal,metal,is
4077,compounds,covalent  bonds,contain
4078,atoms,polar covalent bonds,held
4079,polyatomic  ions,opposite  charge,form ionic
4080,potassium,K+  cation,contains
4081,Thus  bonding,nitrogen potassium NO3,is ionic
4082,Bond polarities,important  proteins,play
4083,,increasing amino acidsin polarity,arrange
4084,\xce+  polarity,absolute electronegativity difference increases,increases as
4085,atom,more \xce two,is
4086,Table,increasing  polarity,shows
4087,,4.0 Creative Commons License,Adapted from
4088,,,Download for free
4089,configurationelectronic ground orbitals,atom,called
4090,notation,high electron 1,describe
4091,electron,principal quantum 2,called
4092,notation,high electron 1,indicates
4093,particular electron we,atomic  numbers,cbuilddthe
4094,proper  we,describedthe electron elements,add
4095,procedure,German addingone word,called
4096,,allowed Pauli exclusion principle,electronoccupies
4097,lower energy subshells,tocapacity,filled
4098,periodic  figure,alternative determiningthe electron configuration,procedure in
4099,simply hydrogen you,increasing Z order,begins at
4100,orbital,Ca 3d orbitals,see
4101,interactive  example,periodic electron table,shows
4102,atomic  number,more  neonatom,has
4103,electron,available energy 1s22s22p63s1configuration,go into
4104,inner core that,innershells,called
4105,then electron that,outer shell electrons,abbreviate
4106,very  they,element ground state atom,are
4107,valence electrons,outermostshell atom,are
4108,chemical Valance electrons,later  course,discussed in more
4109,orcondensed core configuration,"core electrons,(1s22s22p6",represents
4110,which,inner  lithium,determine
4111,Writingthe configurations,configurationsof lithium,emphasizes
4112,which,filled metal innershells,atoms
4113,alkaline earth metal magnesium,a[Ne]3s2 family memberberyllium,is analogous
4114,filled s subshell,inner  shells,have
4115,Aluminum,itsfamily member boron,is analogous
4116,principal quantum number,theheavier  3,areanalogous in
4117,Figure,known electron elements,shows
4118,we,3d subshell,expect
4119,more  which,threeradial  nodes,orbital with
4120,Thus  potassium,electron configuration of[Ar]4s1,has
4121,,valenceshell potassium configuration,corresponds to
4122,next  electron,electron Ar]4s2,added
4123,This,corresponding beryllium andmagnesium,gives
4124,21 transition metal additionalelectrons,successively 3d subshell,added
4125,subshell,10 d electrons,filled toits
4126,4p subshell,,fills
4127,Y)through  total,18 n electrons,Note thatfor
4128,seven f orbitals,32  electrons,added to
4129,interactive  example,periodic  table,shows
4130,Electron configurations,excited  atoms,represented
4131,we,ground state atoms,follow
4132,,Commons Attribution 4.0License,Adapted from
4133,,,Download for free
4134,common  approachto,first itsconstituent elements,is
4135,chemical formulas,therelative  substance,keep in
4136,experimentallyderived  data,corresponding inthe compound,used
4137,we,molar  moles,use molar
4138,whole number that,empirical  substance,consider
4139,Thus  we,accurately  formula,represent
4140,whole number which,dividingeach mol two,contain whole
4141,empirical number formula,compound,is
4142,however  we,later inthis section,need additional
4143,process,anempirical  steps,summarized in
4144,,given  moles,Convert
4145,,mole values,Divide
4146,step,whole values numbers,find
4147,,whole number compound,Write
4148,sample ofcompound,5.31 g Cl,Consider as
4149,,empirical  compound,formula for
4150,,moles,Convert to
4151,,mole thevalues,Divide
4152,inthis example,whole number ratio,Notice
4153,that,awhole number ratio,Find
4154,,2 mole yields,Multiplying
4155,,chemical  formula,Write
4156,,absolute compounds constituentelements,consider
4157,convenient  masses,usual  fashion,used
4158,,27.29 % C,fermentation of
4159,theempirical  formula,gas,is theempirical
4160,it,present  g.,ismost convenient
4161,cmost  mass,numerically theelements mass percentage,convenientd
4162,empirical twooxygen formula,4.0 Creative Commons License,derived by
4163,,,Download for free
4164,change,standard state conditions,caused
4165,opposite  \xceH,directly  reactants,is
4166,standard  enthalpy,1 enthalpy bar,is
4167,stepwise enthalpy change,various enthalpy steps,equals
4168,useful  form,Hesss reactants,predicting
4169,instructor,that,evaluate
4170,questions,material,be for
4171,self evaluation,also  class,shape
4172,responses,instructor,graded
4173,,4.0 Creative Commons License,Adapted from
4174,,,Download for free
4175,central  that,Lewis structures,have
4176,First  we,hypervalent molecules,consider
4177,These,next  module,are
4178,eight valence shell they,four valence orbitals,accommodate
4179,that,2nd covalent octet,exceed
4180,Elements,3rd valence period,have
4181,shells,3rd d electrons,include
4182,3rd covalent they,usually  electrons,exceed
4183,Molecules,elements,called
4184,two sulfur which,electrical  industry,show
4185,we,eight valence electrons,find
4186,additional  electrons,central  atom,assigned to
4187,valence that,Lewis structure,need
4188,We,terminal skeleton structure,use single
4189,10  which,more  structure,shows
4190,,terminal  atoms,Add
4191,Lewis structure,40 valence molecule,shows
4192,,iodine pentafluoride,Determine
4193,valence that,Lewis structure,Calculate
4194,single  I,terminal skeleton structure,use single
4195,10  which,more  structure,shows
4196,,terminal  atoms,Add
4197,structure,40  electrons,shows
4198,,2  structure,are
4199,additional  electrons,central  atom,added to
4200,Now  structure,42  electrons,shows
4201,F F,2nd  electrons,Note
4202,central  that,filled valence shell,encounter
4203,other  that,multiple  bonds,are
4204,,four boron electrons,have
4205,bond lengths,single  bonds,is
4206,best Lewis structure,single  bonds,suggests
4207,reactivity,deficient  boron,is
4208,double bond character,actual  molecule,are
4209,boron which,eight  electrons,is
4210,It,lone  electrons,combines with
4211,that,free  radicals,call
4212,when combustion oxygen,high  temperatures,produced in internal
4213,Odd electron molecules,odd  electrons,are
4214,possible Lewis structures,NO,seen
4215,left  structure,right  structure,is
4216,,Creative Commons Attribution,Adapted from
4217,,,Download for free
4218,Nitrosyl fluoride,49 room temperature,is
4219,even  it,molecular  mass,is
4220,We,two dispersion forces,attribute
4221,same  ONF,same  shape,have about
4222,It,significant dispersion forces,expected
4223,Additionally  we,dipole boiling molecules,attribute
4224,molecules,comparable dipole moments,are polar
4225,when  molecule,fluorine nitrogen atom,is due
4226,4.0,partial H atoms,leads to
4227,strong N H type,dipole dipole attraction,attracted to similar
4228,hydrogen bonds,dots,include
4229,video,below water molecules,illustrates
4230,hydrogen bonds,word mind,keep in
4231,Hydrogen bonds,other dipole dipole attractions,are
4232,Hydrogen bonds,condensed  phases,have
4233,,17 slide show,consider
4234,,dimethylether,Consider
4235,boiling points,78.4 boiling point,are
4236,,reasoning,Explain
4237,respectively  they,similar dispersion forces,exhibit similar
4238,it,only dispersion forces,exhibit only
4239,it,also dipole dipole attractions,experience
4240,so OH it,strong hydrogen bonding,has
4241,So  ordering,IMFs,CH3CH2OH
4242,boiling point,Creative Commons Attribution,is
4243,,,Download for free
4244,ordinary chemical nucleus,thus  element,remains unchanged
4245,Electrons,other  atoms,added to
4246,transfer,elements,govern
4247,charged  particles,ions,gain
4248,nonmetal  they,periodic  table,gain enough
4249,1  atoms,2  charge,gain
4250,,likely ion formation,Click
4251,main group elements,equal group number,tend
4252,2  elements,+  ions,form
4253,periodic  elements,noble  gases,form
4254,two  groups,2  ions,form
4255,predictive  value,periodic  table,used as
4256,variable  that,table,exhibit variable
4257,1  iron,+  charge,form
4258,noble  it,noble  which,gain
4259,1  it,same  neon,lost
4260,,4.0 Creative Commons License,Adapted from
4261,,,Download for free
4262,very  that,ideal gas behavior,is
4263,negligible  that,absolute  temperatures,assumes
4264,gas distribution,molecules,being dependent
4265,Gaseous  atoms,freely  space,move
4266,gaseous  atoms,low  concentration,is
4267,gaseous  species,small  orifices,is
4268,rates,atoms molecules masses,are
4269,Gas molecules,one  another,possess
4270,Consequently gas behavior,ideal gas law,described
4271,accurate gas gas,ideal  behavior,is
4272,molecular  attractions,molecular  size,required
4273,ideal gas that,ideal  conditions,is
4274,instructor,that,evaluate
4275,questions,material,be for
4276,self evaluation,also  class,shape
4277,responses,instructor,graded
4278,,4.0 Creative Commons License,Adapted from
4279,,,Download for free
4280,other  they,mutual  solubility,have
4281,antifreeze ethylene that,completely  water,are
4282,Two cycle motor oil,gasoline,is miscible
4283,polar  that,hydrogen bonds,are
4284,such dipole dipole attractions,pure solute solvent,are
4285,two  kinds,molecules,mix
4286,nonpolar  liquids,intermolecular  attractions,are miscible
4287,that,appreciable  extent,is
4288,when  we,same  container,formed
4289,Gasoline,nonpolar carbon water,are immiscible
4290,attraction,nonpolar  liquids,is
4291,so water they,nonpolar  liquid,squeeze
4292,mutual  liquids,mutual  solubility,is
4293,such  that,mutual  solubility,said
4294,miscible  liquids,two  layers,form
4295,lower  layer,water,is
4296,very water layer,bright orange it,discolored by
4297,solubility,dark bromine layer,is
4298,,4.0 Creative Commons License,Adapted from
4299,,,Download for free
4300,Italian  scientist,same numberof molecules,advanced
4301,relationship,many  experimentalobservations,supported by many
4302,directly number pressure,confined gas molecules gas,are
4303,expandable  balloon,2.5 helium 1.2L.,contains
4304,new  volume,balloon,be
4305,Here  we,problem,use
4306,,equation,Plug
4307,,4.0 Commons License,Adapted from
4308,,,Download for free
4309,environmental  that,world,contains
4310,originally chemical meaning,redox oxidation reactions,used
4311,few  examples,clear  classification,used
4312,csd subscripts,ionic  compound,are
4313,elements oxidation number,electrons,oxidized
4314,it,chlorine,Viewed from
4315,it,oxidizes  sodium,reduced
4316,oxidant  that,however redox electrons,process in
4317,so covalent transfer,explicit  sense,Consider
4318,unambiguous redox property,unambiguous redox reactions,defined
4319,compound,compound,is
4320,following  guidelines,oxidation molecule,used
4321,sum,molecule oxidation molecule,have in
4322,e.g. oxidation number,sign  number,Note
4323,convention,related  properties,aims
4324,following oxidation number,H,is +1
4325,sum,molecule oxidation molecule,equals
4326,overall hydrogen we,oxidation sulfur,assign
4327,it,situation,is
4328,overall  charge,monatomic  ion,is
4329,it,situation,is
4330,overall  charge,monatomic  ion,is
4331,,4.0 Creative Commons License,Adapted from
4332,,,Download for free
4333,low solute concentrations,solute  109,expressed
4334,per  units,masses,defined in
4335,,ppm  atoms,are
4336,here  ppm,other trace water,are convenient
4337,treated  levels,adverse concentration health,are
4338,EPA,fluoride tap water,identified
4339,Inline water filters,other tap water,designed
4340,remedial tap actions,15 tap ppb,taken
4341,concentration,ppm,is
4342,mass,typical  water,contained in
4343,definitions,given  ppb,used
4344,two unit ppm,times  ppb,shows
4345,requested ppb mass,solution,used
4346,300  we,corresponding  mass,use
4347,g tap concentrations,dissolved  substances,assume
4348,,4.0 Creative Commons License,convert
4349,,,Download for free
4350,us,periodic  trends,allow
4351,radius we,orbital n size,increases
4352,electrons,nucleus,decreases
4353,nuclear valence charge,valence electrons,are larger
4354,mostly  it,higher energy orbital,decreases down
4355,when  electrons,closer energy nucleus,is
4356,periodic  we,group,becomes
4357,,half electron affinity subshells,are
4358,instructor,that,evaluate
4359,questions,material,be for
4360,self evaluation,also  class,shape
4361,responses,instructor,graded
4362,,Creative Commons Attribution,Adapted from
4363,,,Download for free
4364,that,physical  another,are
4365,,three phase matter,are
4366,Melting,intermolecular  attractions,are
4367,attractive exothermic forces,exothermic heat,are
4368,phase transitions,therefore chemical substance,determined by
4369,substance,gaseous phase substance,summarized in
4370,Phase diagrams,three temperature equilibrium curves,are
4371,curves,phase transition temperatures,represent
4372,three  phases,equilibrium,represents
4373,triple  substance,regardless  temperature,exist in
4374,liquid liquid gas phase,critical liquid gas which,represents
4375,instructor,that,evaluate
4376,questions,material,be for
4377,self evaluation,also  class,shape
4378,responses,instructor,graded
4379,,4.0 Creative Commons License,Adapted from
4380,,,Download for free
4381,size,unit crystal,determined from
4382,physical  dimensions,light,is
4383,rays,few neighboring angstroms,are
4384,rays,crystal,scattered in
4385,maxima,amplitude  which,undergo
4386,,b experience maxima,waves
4387,when  difference,integer  wavelength,undergo constructive
4388,English W. H. who,first  phenomenon,known as
4389,illustration,two crystal planes,shows
4390,different Bragg that,destructive Bragg interference,depicts
4391,diffraction,atoms,permits
4392,top  image,high  intensity,depicts constructive
4393,bottom  image,destructive  interference,depicts destructive
4394,rays,when  crystal,used
4395,such Bragg equation,following example exercise,used
4396,b ray diffraction that,crystal structure,strikes
4397,rays  nm,diffraction copper,used
4398,first order diffraction,1  angle,occurred at
4399,,diffracting  copper,Determine
4400,we,half oxidation reduction reactions,found by
4401,which,half  reactions,is important
4402,overall reduction equation,oxidation chalfd,splits
4403,frequently  which,frequently  solutions,occur in
4404,When oxidation reduction nature,solution,be
4405,we,acidic oxidation reduction solution,look at
4406,half oxidation reduction reaction,different oxidation states,contains
4407,Fe2,electron,lost
4408,however  manganese,five  Mn2,gained
4409,charges,ions,is unbalanced
4410,half  elements,reduction,balanced
4411,right oxygen we,left H+ hydrogen,add
4412,so  it,now charge balance,is
4413,total reaction charge,right  side,is
4414,therefore  it,left charge balance,is necessary
4415,We,half  reactions,have
4416,number,half reduction reaction,be equal
4417,it,half  five,is necessary
4418,acidic reaction we,hydrogen ions,use
4419,left  side,14  +12,has
4420,acidic  It,four water molecules,is necessary
4421,,left water charge,Add
4422,common  multiple,reaction reduction six,is
4423,,acidic  solution,Follow
4424,,acidic  solution,Follow
4425,,4.0 Creative Commons License,Adapted from
4426,,,Download for free
4427,you,solid tempera paint,made
4428,that,magnifying  glass,are heterogeneous
4429,suspended  particles,,are cloudy
4430,dissolved  species,which,is
4431,Solutions,different  suspensions,exhibit
4432,they,standing,colored
4433,,colloidal exhibit suspensions,class
4434,small  they,simple  molecules,are small
4435,homogeneous  that,such  aquarium,is
4436,such  particles,such  milk,are
4437,particles,which,is
4438,enough  phenomenon,Tyndall effect,called
4439,colloidal  mixtures,searchlight  photo,make colloidal
4440,Clouds,,are colloidal
4441,enough  they,much  molecules,composed of
4442,when  light,air colloidal size fog,made visible
4443,cBahmand Wikimedia term,such Thomas water,meaning
4444,others,large polymer molecule,are
4445,synthetic polymer that,atomic mass units,have molecular
4446,Analogous solution components,relative  amounts,classified according
4447,particulate,which,called
4448,Colloids,solid  gas,involve
4449,,following  table,illustrated by
4450,floating soaps Colloids,colloidal dispersion medium,prepared by
4451,Particles,larger Dispersion particles,formed by
4452,paint pigments,special  mills,produced by
4453,,such Condensation molecules,methods
4454,when water molecules,small  droplets,form
4455,solid  substances,colloidal  systems,disperse
4456,,milk powder manner,Gelatin
4457,colloidal  water,simply  them,disperses
4458,Powdered milk particles,colloidal milk spray,produced by
4459,atomizers,colloidal  air,produce colloidal
4460,emulsion,immiscible  liquids,prepared by
4461,colloidal  which,other  liquid,breaks
4462,oil,emulsion,be
4463,dispersed  phase,large  drops,tends
4464,usually emulsifying that,dispersed  liquid,stabilized by
4465,little  soap,water,stabilize
4466,protein casein,emulsifying  agent,is
4467,Mayonnaise,emulsifying egg yolk agents,is
4468,Condensation methods,colloidal  molecules,form colloidal
4469,particles,colloidal size range,drops
4470,when water molecules,sized  particles,form
4471,solid water they,rain,settle from
4472,Many condensation methods,chemical reactions,involve
4473,still  particles,many term colloids,are
4474,basic  solutions,hydroxide  ions,Recall
4475,Some,hydroxide hydrogen water,react with
4476,simplest  way,basic  solution,cconvertd
4477,,basic  solution,Balance
4478,same  we,acidic  solution,following
4479,,basic  solution,balance
4480,,overall  equation,Answer
4481,,4.0 Creative Commons License,Adapted from
4482,,,Download for free
4483,Pioneers,hot wood water,made
4484,Animal fats,fatty  acids,contain
4485,stearic potassium acid,fatty potassium acids,treated with
4486,salts,fatty acids,called
4487,sodium salt,nonpolar hydrocarbon chain,has
4488,Soaps,nonpolar hydrocarbon end,contain
4489,ionic  end,,is
4490,length,hydrocarbon soap,vary from
4491,Detergents,such hydrocarbon detergent,contain nonpolar
4492,hard  detergents,definite  detergents,form
4493,Detergents,nonpolar hydrocarbon end,contain
4494,ionic  end,,be
4495,length,hydrocarbon detergent,vary from
4496,cleaning  action,molecules,explained in
4497,hydrocarbon,such molecule oil,attracted to
4498,ionic  end,following  figure,attracted
4499,dirt they,different  matter,oriented at
4500,such  they,hydrophobic,termed
4501,dirt particles,colloidal  particles,suspended as colloidal
4502,how  soap,emulsifier,shows
4503,colloidal  particles,,charged
4504,colloidal  particle,positive  ions,contain enough
4505,hydroxide  which,dispersion,bears
4506,most  metals,negatively  dispersions,have
4507,colloidal  particles,same  sign,have
4508,particles,other,helps
4509,charged  nature,colloidal  mixtures,exploited
4510,particles,smoke,dispersed
4511,Frederick Cottrell,American  particles,developed
4512,where  they,such Cottrell precipitator,attracted to
4513,This,industrial  processes,is
4514,process,valuable  smelters,is
4515,,indoor air quality,are
4516,where  they,dust,attracted to
4517,Gelatin desserts,such Jell colloid,are
4518,aqueous gelatin it,viscous  gel,sets on
4519,gel,solid  phase,is
4520,dimensional  interstices,dispersing dilute medium,appears
4521,aqueous  solution,solid  proteins,are
4522,Steven credit Pectin,jelly fruit making,is
4523,when dilute hydrochloric acid,sodium silicate,formed
4524,Canned Heat,aqueous calcium acetate,is
4525,,,Perry
4526,,,Chemistry
4527,,,Rocketology
4528,,,NASA
4529,,,2016
4530,,,Web
4531,N}_2(g)\\ O}_3(s)\\;+\\;2\\;{\\mathrm{AlCl}}_3(s)\\;+\\;12\\;{\\mathrm Atoms,stable electron configurations,gain
4532,electronic  structures,noble gas configuration,determined
4533,nonmetal  atoms,enough valence shells,determined
4534,when  electrons,atoms,form
4535,pure covalent electrons,pure covalent bonds,shared
4536,polar covalent electrons,stronger atom other,shared
4537,ability,chemical bond,called
4538,how  bond,two  atoms,determines
4539,identical  bond,identical  electronegativity,is
4540,bonding,metals,characterized as ionic
4541,instructor,that,evaluate
4542,questions,material,be for
4543,self evaluation,also  class,shape
4544,responses,instructor,graded
4545,,Creative Commons Attribution,Adapted from
4546,,,Download for free
4547,only solute species,only  kind,dissolved
4548,1 freezing mole,other  nonelectrolyte,dissolved in
4549,,when sodium solution,mole of
4550,single  molecule,freezing  point,produces
4551,concentration,125  water,is
4552,freezing nonelectrolyte which,freezing  seawater,Assume
4553,,molar conversion factor,Convert from
4554,,1 conversion factor,Determine
4555,,kilograms,Determine
4556,,freezing point changes,Use
4557,,pure freezing solvent,Determine
4558,however point value,3.4  C,contains
4559,more solute concentrations,colligative property values,observed for other
4560,ions,completely sodium solution,suggest
4561,vant Jacobus Hoff,honor,used
4562,formula Values,complete Hoff table,shown in
4563,Peter Debye,strong  electrolytes,proposed
4564,polar  it,polar  solvent,suggested
4565,residual  attractions,independent  particles,prevent
4566,positive  ion,solvated  unit,touch
4567,Thus  activity,actual  concentration,is less
4568,interionic  attractions,more  solution,become
4569,effective  concentrations,actual  concentrations,are
4570,0.05 value,ideal  2,Note
4571,,4.0 Creative Commons License,Adapted from
4572,,,Download for free
4573,simple factor label method,complex  computations,used
4574,appropriately  labels,desired  result,is
4575,why  it,factor label method,is
4576,you,many  approach,encounter many
4577,complex  Amanda,examples,is
4578,height,meters,is
4579,,direct conversion meters,Notice
4580,We,two step approach,take
4581,,then  values,is
4582,activity,approach,take
4583,gas tank,17.5  gal,has
4584,measurement,mL,is
4585,direct conversion we,following  conversion,go through
4586,,"22,500  kilometers",Convert
4587,,significant  figures,Round
4588,we,following conversion factors,fill
4589,You,1  =,know
4590,we,conversion factor,is
4591,1  we,length times width,look at
4592,Making,cubed  volume,is similar
4593,you,in3,say
4594,1,,know
4595,,,cm
4596,unit,length,is
4597,1  we,length height,find
4598,new  apartment,you,tells
4599,you,area,want
4600,You,,know
4601,apartment,,is
4602,volume,swimming pool,is
4603,,m3,Convert
4604,You,,know
4605,,,m3
4606,,4.0 Creative Commons License,Adapted from
4607,,,Download for free
4608,,2.998 radiation ms-1,Light
4609,wavelike  which,frequency,shows wavelike
4610,similar interference that,constructive  waves,show
4611,Electromagnetic  radiation,also  particles,demonstrates
4612,where  h,E,is
4613,particle  behavior,wave particle duality,demonstrates
4614,various radiation forms,practical radio applications,forms of electromagnetic
4615,Electromagnetic  radiation,such  it,generated by exciting
4616,emitted  light,excited  atoms,be
4617,line spectrum,electrified hydrogen prism,obtained by
4618,empirical  formula,Rydberg  spectrum,was simple
4619,Plancks hydrogen that,atom stability,incorporated
4620,Bohr model,quantized hydrogen atoms,explains
4621,Bohr,circular hydrogen nucleus,described
4622,electron,discrete  energies,postulated
4623,Transitions,allowed  photons,result in
4624,stable energy energy,photon,emitted in
4625,excited  photon,energy,move
4626,Bohr we,one electron system,calculate
4627,instructor,that,evaluate
4628,questions,material,be for
4629,self evaluation,also  class,shape
4630,responses,instructor,graded
4631,,Creative Commons Attribution,Adapted from
4632,,,Download for free
4633,covalent  bonds,atoms,exist
4634,is covalent energy,bonded  atoms,measure
4635,Separating,bonded  energy,requires
4636,,greater  it,bond
4637,energy,gaseous covalent molecules,called
4638,436 HH Molecules,two  bonds,have
4639,standard endothermic that,molecule,is equal
4640,\\frac{1660\\;\\mathrm{kJ}}{4\\;\\mathrm{mols}\\;\\mathrm{of}\\;\\mathrm{bonds}}\\;=\\;415\\;{\extstyle\\frac{\\mathrm{kJ}}{\\mathrm{mol,four CH reaction,is
4641,remaining  bonds,kJ  mol,are
4642,kJ  value,one  bond,is
4643,strength,two bond increases,increases as
4644,Generally bond length,,decreases
4645,double  bonds,two  atoms,are stronger
4646,common bond that,common bond table,appear in
4647,typically  we,group,decreases
4648,kJ  CBr,example,is
4649,where enthalpy enthalpies,formation,use
4650,also  reaction,also  us,tell
4651,when  bonds,reactants,results
4652,when  bonds,reactants,results
4653,when energy bonds,products,is
4654,bond which,bond mole,represents
4655,particular Bond Energies bond,Bond Energies table,obtained from
4656,we,reactants,is important
4657,different  calculation,exact  reaction,provides
4658,one HH mole,ClCl bonds,calculate
4659,energy,HH bond,is
4660,two  moles,432 2 kJ,formed
4661,Methanol,more  energy,be
4662,gases carbon methanol,gases carbon which,produces
4663,Lewis we,single  bonds,see
4664,following  we,bond energies,calculate
4665,,4.0 Creative Commons License,Adapted from
4666,,,Download for free
4667,Combining,ideal  gaslaw,yields
4668,kelvin andR,kelvin scale,is
4669,T,ideal gas gas,said
4670,that,later gas unit,is
4671,ideal module assumption,low  pressure,is
4672,that,high  pressures,introduced
4673,ideal gas equation,8.314 L K,contains
4674,Specifying,following gas examples,permit
4675,where  number,gas,are equal
4676,typical tank witha volume,153  atm,has
4677,where divers pressure,feet divers ocean,provide to
4678,37  we,theunknown,identify
4679,,4.0 Creative Commons License,Adapted from
4680,,,Download for free
4681,all,module,requires
4682,diagram,below  concepts,summarizes
4683,,detailed  information,Click on
4684,which,highest boiling point,Determine
4685,,,Explain
4686,,detailed boiling ranking,Place
4687,below  you,two  substances,given
4688,,two  substances,Fill in
4689,which,higher boiling statements,Make
4690,,4.0 Creative Commons License,Adapted from
4691,,,Download for free
4692,attractive  that,together chemical bonding,is
4693,When  electrons,ionic compound result,transferred between
4694,Ionic  bonds,electrical  case,is
4695,readily  transfer,usually  ions,forces of
4696,compound,opposite charge compound,stabilized by
4697,one chlorine atom,one Cl ion,accepts
4698,two chlorine which,two Cl ions,give
4699,slideshow  that,ionic  bonds,called
4700,one  compound,one  nonmetals,help
4701,guideline,introductory chemistry course,works
4702,always aluminum chloride,always  example,is
4703,,ionic  bonds,Compound
4704,You,ionic  properties,recognize ionic
4705,that,higher  temperatures,are
4706,,1413 sodium chloride C,melts at
4707,,180 compound water C,melts at
4708,celectricityd,charged  particles,is
4709,ions,freely  liquid,conduct
4710,,4.0 Creative Commons License,Adapted from
4711,,,Download for free
4712,empirical  formulas,relative compounds elements,Recall
4713,absolute  that,empirical covalent formula,requires
4714,quantities,various measurement techniques,determined
4715,Molecular  mass,often mass compound,derived from
4716,experimental  many,later  course,measured by
4717,Molecular  formulas,empirical formula mass,derived by
4718,empirical formula mass,empirical  formula,is
4719,empirical  formula,empirical  example,consider
4720,empirical formula mass,one O atom,is
4721,molar  mass,empirical  formula,Note
4722,we,single formula units,considering
4723,molecular mol formula,0.2500 mol nicotine,is
4724,Determining,molar formula mass,require
4725,,empirical percent formula,use
4726,empirical  formula,whole  numbers,are
4727,empirical formula mass,compound,is
4728,Thus formula we,two  slides,derive
4729,,4.0 Creative Commons License,Adapted from
4730,,,Download for free
4731,Orbital  diagrams,pairing electron electrons,are pictorial
4732,1 singlehydrogen which,one  proton,start with
4733,We,1s orbital,wouldexpect
4734,ms +1/2value,convention,filled
4735,noble gas which,atomic  2,is
4736,heliumatom,two  protons,contains
4737,first  electron,1 hydrogen atom +1/2,has
4738,second  electron,1s  orbital,goes into
4739,second  electron,opposite ms /2,has
